"logFC"	"AveExpr"	"t"	"P.Value"	"adj.P.Val"	"B"	"gene_ID"
"254490_at"	-0.866097241516454	7.15487919171601	-8.17685652518526	1.64668186332534e-05	0.00766547210254101	3.49606171467546	"AT4G20320"
"254705_at"	0.945289416978051	9.93216264987441	8.17889936466905	1.64332460456423e-05	0.00766547210254101	3.49793793863208	"AT4G17870"
"256319_at"	0.88369955891757	4.28161776260692	8.41881867750133	1.29663137133657e-05	0.00766547210254101	3.71493225246329	"AT1G35910"
"257264_at"	1.02575354757024	5.55676218072396	8.37814823834509	1.34926350897558e-05	0.00766547210254101	3.67861211460209	"AT3G22060"
"260300_at"	0.711661436123409	6.50776872812746	8.43044568421061	1.28200153920473e-05	0.00766547210254101	3.72528117218801	"AT1G80340"
"260332_at"	1.38664129776835	6.16067900756394	8.25696964280938	1.52047587260191e-05	0.00766547210254101	3.56927626744815	"AT1G70470"
"260494_at"	0.780001401411909	6.28462075324752	8.28791429602683	1.47459854079817e-05	0.00766547210254101	3.59735703467926	"AT2G41820"
"261425_at"	1.2625344569644	9.27401332847437	8.22192853669901	1.57432378356226e-05	0.00766547210254101	3.53734441105449	"AT1G18880"
"266938_at"	0.649629577010616	5.52985472438435	8.1853921925695	1.63270381503183e-05	0.00766547210254101	3.50389796593864	"AT2G18950"
"267385_at"	0.988720645909221	8.64650388071104	8.18839930612476	1.62781036469495e-05	0.00766547210254101	3.50665664662584	"AT2G44380"
"249329_at"	0.814550292011985	6.72522066669677	8.08422642743368	1.80710231828826e-05	0.00824400077603104	3.41047133237357	"AT5G40960"
"266644_at"	0.943569135591269	7.04275309660534	8.02550026562083	1.91763295350962e-05	0.00857670738618714	3.35568217510441	"AT2G29660"
"258293_at"	1.10131749502721	9.36727581034617	7.95956023670006	2.0506432537076e-05	0.00882550426737175	3.29367120970976	"AT3G23430"
"261297_at"	1.06767403030999	5.39641340120651	7.97786271400577	2.01273950054556e-05	0.00882550426737175	3.31093552434738	"AT1G48500"
"267358_at"	1.06054076536773	7.2442116348109	7.914642895375	2.14702042338801e-05	0.00906917330694081	3.25113014477504	"AT2G39890"
"251072_at"	1.97470049814787	6.79626495618109	7.87901175390685	2.2270021350883e-05	0.00923598521842984	3.21720981937015	"AT5G01740"
"259618_at"	0.882632499308379	5.32525855208213	7.85137616968544	2.29128261867136e-05	0.00933288509498101	3.19079449300765	"AT1G48000"
"261335_at"	1.07118352105617	10.4450985213012	7.76825798769409	2.49717493296092e-05	0.00999308074049801	3.11078101626507	"AT1G44800"
"262114_at"	1.11203489016498	6.75539300337898	7.74916692442194	2.54727266858397e-05	0.0100178085466207	3.0922824869783	"AT1G02860"
"246703_at"	-0.71657349049691	6.70340338772492	-7.63603479924555	2.86766832880041e-05	0.0101448678669263	2.98172808409919	"AT5G28080"
"247797_at"	-1.06165016825786	6.90712151127132	-7.68256681831008	2.73084028826708e-05	0.0101448678669263	3.02739404822944	"AT5G58780"
"251227_at"	0.742821242605747	7.63253482282298	7.70275438865731	2.67371396584295e-05	0.0101448678669263	3.04712131199305	"AT3G62700"
"258103_at"	-1.44524117397576	7.15427344240858	-7.62837279490148	2.8909093000886e-05	0.0101448678669263	2.97418252239059	"AT3G23630"
"260887_at"	0.682146517669099	6.96924736694435	7.63979091822786	2.85634970198206e-05	0.0101448678669263	2.98542441224851	"AT1G29160"
"262793_at"	0.818179156908676	8.25060986448193	7.63890236943585	2.85902282064109e-05	0.0101448678669263	2.9845501683747	"AT1G13110"
"267127_at"	0.833594910894005	7.65476307448217	7.71702775413414	2.63411290029765e-05	0.0101448678669263	3.06103845280143	"AT2G23610"
