,Ensembl_gene_id,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,Gene_symbol
72,AT2G30360,677.977826156482,-1.54914169341283,0.123266558764321,-12.5674125159501,3.18993923104488e-36,9.12898581328885e-34,CIPK11
73,AT2G38340,94.022836341979,-4.53539299975768,0.366182572516286,-12.3856058156781,3.12714490299948e-35,8.82668777072661e-33,DREB19
74,AT1G05490,122.301827804401,-2.98483101160105,0.241065731616838,-12.3818138380004,3.27848526322253e-35,9.12880930387842e-33,chr31
75,AT2G37240,195.814902381777,-2.51650068455544,0.20981638956261,-11.9938232175352,3.82819153430052e-33,1.05173182085683e-30,
76,AT5G57560,337.567047977207,-2.27933008677134,0.190074835818676,-11.991750917232,3.92519344718194e-33,1.0641922497261e-30,TCH4
77,AT5G51730,215.17817153797,-2.06366293662869,0.172393914820211,-11.9706251742173,5.0645567757116e-33,1.3552622384875e-30,
78,AT5G23910,547.956442430364,-1.44607450689123,0.121389035164246,-11.912727578192,1.01598494546076e-32,2.68389356425884e-30,
79,AT3G53230,314.709193223809,-1.82985638391769,0.154667174431627,-11.8309291589639,2.70134825747246e-32,7.0457317525595e-30,
80,AT1G32860,663.859011148809,-1.32439247157545,0.11214379209804,-11.8097707131004,3.47507648254629e-32,8.95049386535829e-30,
81,AT4G08410,394.952714855413,-1.60224840859819,0.138749822766892,-11.5477510287711,7.57774403286423e-31,1.92764710860701e-28,
82,AT4G13550,244.324237467437,-1.97014345627711,0.17086188228949,-11.530620111858,9.24752034768234e-31,2.32372142395115e-28,
83,AT5G48480,412.50830414307,1.47413224320004,0.129097756787942,11.4187285656828,3.37129809879478e-30,8.3693490753815e-28,
84,AT4G29170,287.081860160336,-1.70416365729202,0.149425863496404,-11.4047435793003,3.95942254067098e-30,9.71236922030065e-28,ATMND1
85,AT1G30475,291.97775417413,-1.63886641176995,0.144408323764593,-11.3488361961846,7.51563678964449e-30,1.82187877706617e-27,
86,AT1G66040,104.57766569789,-3.37187920432683,0.298454979182313,-11.2977817075288,1.34574461686862e-29,3.2243102128579e-27,VIM4
87,AT5G45350,498.427243819874,-1.39445715155579,0.123971798454208,-11.2481803841126,2.36419033629251e-29,5.59932665279393e-27,
88,AT5G47050,347.020641787695,-1.45657284671461,0.129764405805183,-11.2247487103774,3.08261514933111e-29,7.21787331272357e-27,
89,AT3G52880,1974.3554983196,-0.897648030188774,0.0802753041112204,-11.1821193345477,4.98842583236416e-29,1.15490465478498e-26,ATMDAR1
90,AT5G48020,1396.30581516346,-1.06957414938104,0.0959143039766304,-11.1513518321693,7.05266616439772e-29,1.61466873686017e-26,
91,AT3G61630,84.4611133058085,-3.55347010759908,0.323227350884489,-10.9937172639483,4.09697251884055e-28,9.27671634623181e-26,CRF6
92,AT4G35740,431.683282192421,-1.50753538396622,0.137694642984039,-10.9483953136868,6.76351724398064e-28,1.51480731317632e-25,RecQl3
93,AT1G59660,490.059558857023,-1.38261784091773,0.127016163264399,-10.8853692741423,1.3534894612686e-27,2.99877960746661e-25,
94,AT5G11420,621.96728479299,-1.63959420004961,0.151643437997465,-10.8121671580475,3.01462754812896e-27,6.60812772651034e-25,
95,AT3G48610,132.382085339113,-2.35726286314035,0.219906639128062,-10.7193801537188,8.25547189530067e-27,1.79056840423864e-24,NPC6
96,AT3G15240,2440.2911972216,-0.74065560789665,0.0695816852155737,-10.6444045671213,1.85164290423223e-26,3.97428146267762e-24,
97,AT1G76180,4370.71593918218,-1.04934485496025,0.0993172159459082,-10.5655887044977,4.30260477502502e-26,9.13970839065881e-24,ERD14
98,AT4G37490,691.721810475912,-1.18333229555352,0.112321306978528,-10.5352432889668,5.9429407669969e-26,1.24953361738746e-23,CYC1
99,AT3G10500,731.187017237125,-1.18666828082223,0.113555471426265,-10.4501198041591,1.46340251288202e-25,3.04579886645798e-23,anac053
100,AT5G07165,76.5214917107429,-5.6234526045234,0.538260914726662,-10.4474474193971,1.5052193860432e-25,3.10150454494202e-23,
101,AT2G32930,240.423097225839,-1.72633811471248,0.165920544107183,-10.4046073619267,2.36227913725102e-25,4.81928332901558e-23,ZFN2
102,AT1G13330,166.89444875601,-1.98450969376126,0.191451887073451,-10.3655791755132,3.55597640332376e-25,7.18342095985157e-23,AHP2
103,AT1G31280,448.020880199888,-1.30569255332699,0.126184415226445,-10.3474945854752,4.2958028614193e-25,8.59369106403346e-23,AGO2
104,AT1G55200,107.026673660528,-2.72521015172706,0.265088860099092,-10.2803646698256,8.64000700445066e-25,1.71180138775679e-22,
105,AT1G03440,164.091419649589,-2.10583104271263,0.208069459094062,-10.1208079834563,4.46712534486165e-24,8.76620168865469e-22,
106,AT4G23140,83.8894114226707,-6.10444006601837,0.604023431773723,-10.106296784038,5.18055881500689e-24,1.00703221116242e-21,CRK6
107,AT3G24770,115.284910217789,-2.48181340038884,0.246281873217145,-10.0771257257762,6.97362558793329e-24,1.34291173120902e-21,CLE41
108,AT1G17460,227.481535136562,-1.62433296124049,0.161626496348727,-10.0499175440629,9.19443213614448e-24,1.75417846449312e-21,TRFL3
109,AT5G19090,947.79308510861,-0.902932941595346,0.0903850968588486,-9.98984315971279,1.68848688894775e-23,3.19185984832738e-21,
110,AT3G16150,167.980551861756,1.99693291254648,0.201608870608801,9.90498536357215,3.96028038904309e-23,7.41832521965753e-21,
111,AT5G14550,862.414576582157,-0.885298463395096,0.0913661288431822,-9.68956958781293,3.33932942499382e-22,6.19881827045025e-20,
112,AT3G15640,3667.24286090296,0.683533657283382,0.0711041127266217,9.61313813043986,7.03709029523363e-22,1.29463612083294e-19,
113,AT2G24255,64.8146097937184,-5.74123289454463,0.599032895267478,-9.58416965061838,9.32043167423799e-22,1.69953535086437e-19,
114,AT1G27720,134.545123972223,-2.04205664197605,0.214888307501902,-9.50287461293342,2.04174675465125e-21,3.69036770873589e-19,TAF4
115,AT5G58610,62.6253358804397,-3.55885408084024,0.375642175414359,-9.47405353755758,2.69189905216847e-21,4.82318086695055e-19,
116,AT3G62760,211.460774888007,2.13350641973718,0.225266582337693,9.47102938037601,2.77099336711555e-21,4.92209640770827e-19,ATGSTF13
117,AT4G24690,2399.45873427299,-0.882389289260728,0.0934683134202231,-9.44051793567307,3.70941246551573e-21,6.53268750871381e-19,
118,AT2G36910,3267.12645181753,-0.857869624440665,0.0908945112998836,-9.43807950746706,3.79674219100912e-21,6.62981973269008e-19,ATPGP1
119,AT2G21050,551.569402034222,1.1312050886901,0.120109862819774,9.41808659283452,4.59382761861179e-21,7.95427042701647e-19,LAX2
120,AT2G41100,265.417040983372,-2.13670428793334,0.22755484413025,-9.38984312155673,6.00896895237661e-21,1.03179004386433e-18,TCH3
121,AT5G18310,763.02063746472,-1.16804178539627,0.124482309605832,-9.38319500252545,6.4003258472893e-21,1.08990672796195e-18,
122,AT1G75690,64.9117172587524,-3.32041509146717,0.356640155912761,-9.31026704766075,1.27511343993094e-20,2.1535829860473e-18,
123,AT1G07610,141.64196811037,-2.02207044673615,0.217544404300334,-9.29497797582766,1.47236680255236e-20,2.46651365582044e-18,MT1C
124,AT5G20830,267.317615209764,-1.67368773458072,0.18255766128511,-9.16799504769527,4.8189815423315e-20,8.00767053868875e-18,SUS1
125,AT1G30660,55.3757606180398,-5.26652848494582,0.576964849574015,-9.12798845342867,6.97838213846312e-20,1.15031651170426e-17,
126,AT1G68200,52.6987461739363,-4.13307012187166,0.455395587288614,-9.07577990924244,1.12866257808406e-19,1.84572162074778e-17,
127,AT5G61890,80.1537959421086,-6.87063716052086,0.759179971524027,-9.05007694911695,1.42867626052832e-19,2.3179428620619e-17,
128,AT1G09815,680.697020700772,-0.943630931936734,0.104506675733551,-9.02938425046266,1.72640455474647e-19,2.7791067070743e-17,POLD4
129,AT3G26830,55.1105198101256,-3.94097222033718,0.441904779737474,-8.91814798355072,4.74150565424142e-19,7.57354449656159e-17,PAD3
130,AT1G68240,49.4600794610408,-4.6645203449386,0.525346237210189,-8.87894499770127,6.74974716303382e-19,1.06983492534086e-16,
131,AT4G25820,255.866493773067,-1.55858744225467,0.176209944370505,-8.84505949889828,9.14795542892045e-19,1.43888260773211e-16,XTR9
132,AT1G51130,262.419240899919,-1.42682881259839,0.161664210532367,-8.82587932047409,1.08603087666267e-18,1.69527774345715e-16,
