"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","Gene_symbol"
"AT4G25170",69.4979725266607,-1.45132152547843,0.354450873369848,-4.09456326536983,4.22964911286695e-05,0.000737325888076341,""
"AT3G14560",55.3450374048985,-1.45405460813353,0.297823256398855,-4.88227355282897,1.04869636459293e-06,3.04343501301935e-05,""
"AT3G19040",51.0663475252828,-1.45522001254558,0.313591740051154,-4.64049216445626,3.47580356090896e-06,8.64962951359046e-05,"TAF1"
"AT5G47050",347.020641787695,-1.45657284671461,0.129764405805183,-11.2247487103774,3.08261514933111e-29,7.21787331272357e-27,""
"AT5G47070",62.6949564809491,-1.47173738800782,0.300522633749768,-4.8972597159962,9.71823570768475e-07,2.85248214753339e-05,""
"AT1G53090",74.0525324397931,-1.47709508162297,0.260476461402561,-5.67074304399485,1.42179510181917e-08,6.90945473419433e-07,"SPA4"
"AT1G60030",59.093657650108,-1.48325858072398,0.289275990890665,-5.12748595608336,2.93636876759101e-07,9.95129579871922e-06,"ATNAT7"
"AT4G35740",431.683282192421,-1.50753538396622,0.137694642984039,-10.9483953136868,6.76351724398064e-28,1.51480731317632e-25,"RecQl3"
"AT5G13210",87.4688602964023,-1.51625674328873,0.26008431714686,-5.82986609851049,5.54718696448134e-09,2.96113438868233e-07,""
"AT1G08260",1784.30006906037,-1.52023877700523,0.108487218255,-14.0130680964821,1.29679314363432e-44,4.68779346045355e-42,"EMB142"
"AT4G08400",353.456565710561,-1.53336271344857,0.376098164881089,-4.07702790555591,4.56150200995217e-05,0.000786525095523552,""
"AT1G32870",86.511663171663,-1.54266588239188,0.254485068862106,-6.06191117337333,1.34513500779923e-09,8.15191377520678e-08,"ANAC13"
"AT5G57530",79.3694587865002,-1.54798712710432,0.3410889045775,-4.53836846150649,5.66911408292119e-06,0.000130808617781177,"XTH12"
"AT2G30360",677.977826156482,-1.54914169341283,0.123266558764321,-12.5674125159501,3.18993923104488e-36,9.12898581328885e-34,"CIPK11"
"AT1G74440",62.2331336171716,-1.54964774920416,0.294187768207674,-5.2675465014923,1.38259145352376e-07,5.11459549369068e-06,""
"AT4G27970",181.717095703093,-1.55848913715252,0.185655081050396,-8.39454071676856,4.67718916228174e-17,6.46801897240371e-15,"SLAH2"
"AT4G25820",255.866493773067,-1.55858744225467,0.176209944370505,-8.84505949889828,9.14795542892045e-19,1.43888260773211e-16,"XTR9"
"AT5G57540",58.5085922421232,-1.55997036827264,0.314583525342621,-4.95884317709783,7.09141813179982e-07,2.14564861388745e-05,"XTH13"
"AT5G06640",309.885842240637,-1.57298968875783,0.184439859397308,-8.52846935525687,1.48296770513162e-17,2.16713117476859e-15,""
"AT1G73680",144.248801033162,-1.58107307185904,0.198721580021071,-7.95622232719462,1.77371557646828e-15,2.07655735529141e-13,"ALPHA DOX2"
"AT5G06630",202.393842139255,-1.58258128927096,0.251793630589966,-6.28523162227295,3.27365239446951e-10,2.16892628900464e-08,""
"AT5G07100",62.9240445799891,-1.58732242999946,0.294597621001689,-5.38810335467833,7.12051030665855e-08,2.86000223915593e-06,"WRKY26"
"AT1G08270",162.896970479221,-1.59929387374258,0.212268800696888,-7.53428609617627,4.91013670932802e-14,5.29703491600544e-12,""
"AT4G08410",394.952714855413,-1.60224840859819,0.138749822766892,-11.5477510287711,7.57774403286423e-31,1.92764710860701e-28,""
"AT4G38410",105.776572682715,-1.61106094154007,0.240180690870889,-6.70770383621767,1.97710680341482e-11,1.58514730289348e-09,""
"AT5G59520",1433.5246646354,-1.61331534391402,0.105539419785291,-15.2863768551707,9.42497645044912e-53,4.31559199470009e-50,"ZIP2"
"AT1G17460",227.481535136562,-1.62433296124049,0.161626496348727,-10.0499175440629,9.19443213614448e-24,1.75417846449312e-21,"TRFL3"
"AT1G70250",82.7552026357398,-1.6297062910055,0.260812543610633,-6.24857327965977,4.14218876625204e-10,2.7009430230577e-08,""
"AT5G40840",724.709286098228,-1.63592114137629,0.10751911749874,-15.2151652602196,2.80510211423e-52,1.22976870348317e-49,"SYN2"
"AT1G30475",291.97775417413,-1.63886641176995,0.144408323764593,-11.3488361961846,7.51563678964449e-30,1.82187877706617e-27,""
"AT5G11420",621.96728479299,-1.63959420004961,0.151643437997465,-10.8121671580475,3.01462754812896e-27,6.60812772651034e-25,""
"AT2G24980",332.794080573503,-1.64837885049522,0.198486722135917,-8.30473108103654,1.00045778627818e-16,1.32143799270909e-14,""
"AT5G51580",98.3837903236073,-1.66262795849615,0.251803547144402,-6.60287743104225,4.03252938910263e-11,3.08885754879032e-09,""
"AT3G46080",62.4328162737638,-1.66525435130992,0.295720372886823,-5.63117899201094,1.78981854843061e-08,8.51713884305143e-07,""
"AT3G49380",62.5118922805645,-1.66641647595415,0.303059421793213,-5.49864599521081,3.82718596246243e-08,1.66369550119279e-06,"iqd15"
"AT5G20830",267.317615209764,-1.67368773458072,0.18255766128511,-9.16799504769527,4.8189815423315e-20,8.00767053868875e-18,"SUS1"
"AT3G56240",3135.85903162809,-1.67581015719606,0.114325531488765,-14.6582319397373,1.1934020132109e-48,4.91800969644211e-46,"CCH"
"AT3G28210",96.9948108705124,-1.67973571859246,0.235309068481901,-7.13842322112488,9.44075781374702e-13,9.09003807253539e-11,"PMZ"
"AT2G47260",50.6356642926598,-1.68498858269978,0.314839913857897,-5.3518899876853,8.70403121483425e-08,3.39671521177386e-06,"WRKY23"
"AT4G02110",810.18965621579,-1.69143141578768,0.100912985333161,-16.7612860743687,4.68381949225514e-63,2.60838109832208e-60,""
"AT4G29170",287.081860160336,-1.70416365729202,0.149425863496404,-11.4047435793003,3.95942254067098e-30,9.71236922030065e-28,"ATMND1"
"AT2G32930",240.423097225839,-1.72633811471248,0.165920544107183,-10.4046073619267,2.36227913725102e-25,4.81928332901558e-23,"ZFN2"
"AT1G14720",415.82184879914,-1.7421485804998,0.127908077745331,-13.6203171152996,3.03248111420936e-42,1.0414045559714e-39,"XTR2"
"AT3G53540",381.755572132032,-1.76320412432465,0.131014354531605,-13.4580987757285,2.75924775421481e-41,9.17004838316066e-39,""
"AT2G21640",93.5072733178977,-1.76752171138047,0.241897035889234,-7.30691761014315,2.73340038476214e-13,2.7744687156662e-11,""
