"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","Gene_symbol"
"AT5G03780",548.830961021025,-3.53915093250193,0.143271325419845,-24.7024372960238,1.0068965657212e-134,1.48193598119181e-131,"TRFL10"
"AT3G61630",84.4611133058085,-3.55347010759908,0.323227350884489,-10.9937172639483,4.09697251884055e-28,9.27671634623181e-26,"CRF6"
"AT5G58610",62.6253358804397,-3.55885408084024,0.375642175414359,-9.47405353755758,2.69189905216847e-21,4.82318086695055e-19,"AT5G58610"
"AT3G07540",195.446000451501,-3.60435749385472,0.235234088042464,-15.3224284960098,5.41557176839056e-53,2.53608764290199e-50,"FH10"
"AT4G21200",34.1637947539772,-3.62686770071071,0.507928122786368,-7.14051366326128,9.29827879830549e-13,8.99488425535608e-11,"GA2OX8"
"AT5G24380",257.495442803501,-3.67500758852757,0.208897366917093,-17.5924074236231,2.81653603143548e-69,1.8135851539915e-66,"YSL2"
"AT4G34320",44.9823668099973,-3.71047640384614,0.445368986196683,-8.33124110309632,7.99992208269462e-17,1.07737512754198e-14,"DUF677"
"AT3G45730",220.293038869893,-3.83502925860789,0.227783396354016,-16.8362985186487,1.32254932717204e-63,7.78603682467994e-61,"AT3G45730"
"AT3G60160",34.3609688211038,-3.85904194068834,0.529371049213567,-7.28986208524499,3.10272473953981e-13,3.08461074075628e-11,"ABCC9"
"AT1G63530",27.5363438639293,-3.87050211258666,0.603540417569462,-6.41299571646534,1.4268753071395e-10,1.03889631461518e-08,"AT1G63530"
"AT3G27620",42.7965394199951,-3.87919683846047,0.474406315418606,-8.17695024788519,2.91118141542777e-16,3.59190976436463e-14,"AOX1C"
"AT3G51860",32.5722213880042,-3.88907155314828,0.547675382436063,-7.10105233477845,1.23810477640896e-12,1.16489264465327e-10,"CAX3"
"AT3G26830",55.1105198101256,-3.94097222033718,0.441904779737474,-8.91814798355072,4.74150565424142e-19,7.57354449656159e-17,"PAD3"
"AT4G37030",139.75300465391,-4.0031146451513,0.300447145285337,-13.3238564851382,1.68190083294764e-40,5.41493229107597e-38,"AT4G37030"
"AT1G68200",52.6987461739363,-4.13307012187166,0.455395587288614,-9.07577990924244,1.12866257808406e-19,1.84572162074778e-17,"AT1G68200"
"AT5G56600",48.2267679930625,-4.178120267374,0.482707216803653,-8.6555993404041,4.90328216571007e-18,7.48386140921896e-16,"PRF3"
"AT5G24280",598.921138148751,-4.23978878415859,0.156258410663156,-27.1331876867623,3.9986041867507e-162,8.23912392679982e-159,"GMI1"
"AT2G18720",43.2190819270271,-4.30256534893986,0.530300272457432,-8.11345113778954,4.92019847830813e-16,5.92869530090871e-14,"AT2G18720"
"AT3G58270",474.078362545941,-4.3080015734244,0.166609855654351,-25.8568231543384,2.03908426311984e-147,3.81957556741676e-144,"PEARLI4"
"AT4G17710",36.9564821762783,-4.36130386247541,0.583492960113435,-7.47447554744712,7.75123575779681e-14,8.23269138089707e-12,"HDG4"
"AT5G01380",33.6016576275815,-4.40227827753799,0.59118155309706,-7.44657585216505,9.57939695764492e-14,1.00705854240956e-11,"AT5G01380"
"AT2G38340",94.022836341979,-4.53539299975768,0.366182572516286,-12.3856058156781,3.12714490299948e-35,8.82668777072661e-33,"DREB19"
"AT1G30040",173.505999848034,-4.53761432888135,0.282393930171442,-16.0683847776988,4.25017189653174e-58,2.18936979820091e-55,"GA2OX2"
"AT1G68240",49.4600794610408,-4.6645203449386,0.525346237210189,-8.87894499770127,6.74974716303382e-19,1.06983492534086e-16,"AT1G68240"
"AT5G14570",951.855305220986,-4.8657371322822,0.150082116664441,-32.420499126896,1.41150733248121e-230,9.69470286192513e-227,"NRT2.7"
"AT5G20230",41.5306772376426,-4.89273261159843,0.592544039467355,-8.25716281948691,1.49175871095035e-16,1.92110551494575e-14,"BCB"
"AT5G64060",314.352508379455,-5.00956155410712,0.230179817236941,-21.763687252173,5.12565821653114e-105,5.86745486397912e-102,"NAC103"
"AT3G01600",336.973884804112,-5.03483003218189,0.229827084524224,-21.9070352069459,2.22610173299301e-106,2.69816624754829e-103,"NAC044"
